City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,palmer,42.1584,-72.3287,14.66,82,75,0.0,US,1683521439
1,ribeira grande,38.5167,-28.7,16.54,96,100,4.02,PT,1683521439
2,ulsteinvik,62.3432,5.8487,11.28,52,32,1.34,NO,1683521439
3,vilyuysk,63.7553,121.6247,-3.99,67,98,2.98,RU,1683521439
4,la passe,45.5549,-0.8967,13.88,91,48,0.43,FR,1683521439
5,tegueste,28.5167,-16.3167,18.93,90,100,12.07,ES,1683521439
6,albany,42.6001,-73.9662,13.68,86,100,2.1,US,1683521408
7,coquimbo,-29.9533,-71.3436,12.85,94,0,1.03,CL,1683521239
8,dhuusamarreeb,5.535,46.3861,27.52,60,53,8.71,SO,1683521440
9,edinburgh of the seven seas,-37.0676,-12.3116,14.47,63,48,3.03,SH,1683521440
10,kirensk,57.7853,108.1119,9.38,75,100,3.55,RU,1683521440
11,kristiansund,63.1115,7.732,8.36,66,0,1.54,NO,1683521440
12,bredasdorp,-34.5322,20.0403,11.79,89,16,1.94,ZA,1683521440
13,port-aux-francais,-49.35,70.2167,4.34,63,100,6.92,TF,1683521440
14,chaozhou,23.6651,116.6379,22.92,76,100,1.35,CN,1683521441
15,fale old settlement,-9.3852,-171.2468,28.81,77,46,4.22,TK,1683521441
16,mazamari,-11.3258,-74.5308,19.79,96,77,0.72,PE,1683521441
17,papao,-17.75,-149.55,27.82,76,100,0.88,PF,1683521441
18,phan rang-thap cham,11.5667,108.9833,35.78,49,100,5.71,VN,1683521441
19,alta,69.9689,23.2717,5.59,76,75,4.63,NO,1683521441
20,utrik,11.2278,169.8474,26.89,83,59,8.06,MH,1683521441
21,tazacorte,28.629,-17.9293,20.54,83,20,8.75,ES,1683521441
22,red deer,52.2668,-113.802,11.83,66,0,3.6,CA,1683521060
23,stanley,54.868,-1.6985,11.27,88,20,1.03,GB,1683521442
24,bull savanna,17.8868,-77.5902,23.5,84,64,2.0,JM,1683521442
25,port mathurin,-19.6833,63.4167,26.0,68,35,10.7,MU,1683521442
26,ballarat east,-37.5592,143.8744,9.77,88,81,1.34,AU,1683521442
27,isla vista,34.4133,-119.861,15.34,83,0,2.06,US,1683521442
28,kilindoni,-7.9139,39.6668,26.63,76,6,6.82,TZ,1683521442
29,longyearbyen,78.2186,15.6401,-2.09,80,75,2.57,SJ,1683521442
30,bobrovytsya,50.75,31.3833,6.55,59,99,6.02,UA,1683521443
31,namtsy,62.7161,129.6658,-1.13,50,49,6.46,RU,1683521443
32,aasiaat,68.7098,-52.8699,-2.94,83,93,4.01,GL,1683521443
33,kayangel,8.0823,134.7173,28.76,71,83,2.95,PW,1683521443
34,whitehorse,60.7161,-135.0538,10.43,37,20,4.63,CA,1683521366
35,susuman,62.7833,148.1667,5.94,55,53,3.28,RU,1683521443
36,thompson,55.7435,-97.8558,10.09,53,0,2.57,CA,1683521443
37,atafu village,-8.5421,-172.5159,29.17,77,17,4.64,TK,1683521443
38,blackmans bay,-43.0167,147.3167,12.07,83,98,6.72,AU,1683521443
39,fort mcmurray,56.7268,-111.381,14.77,41,100,3.09,CA,1683521444
40,nakamura,32.9833,132.9333,20.75,52,63,2.31,JP,1683521444
41,puerto baquerizo moreno,-0.9,-89.6,26.35,87,88,4.65,EC,1683521444
42,puerto natales,-51.7236,-72.4875,4.34,86,70,1.52,CL,1683521224
43,tank,32.2217,70.3793,26.36,33,0,4.09,PK,1683521444
44,jamestown,42.097,-79.2353,14.73,89,100,2.57,US,1683521444
45,inhambane,-23.865,35.3833,17.99,93,20,0.0,MZ,1683521444
46,tsiombe,-25.3,45.4833,22.87,65,1,2.78,MG,1683521445
47,san patricio,28.017,-97.5169,26.97,82,100,6.17,US,1683521445
48,vernon,50.2581,-119.2691,13.74,67,95,1.03,CA,1683521445
49,shache,38.4167,77.2406,17.99,18,100,1.99,CN,1683521445
50,bilibino,68.0546,166.4372,-1.16,76,49,1.09,RU,1683521445
51,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,46,75,6.0,RU,1683521445
52,south portland,43.6415,-70.2409,17.01,57,100,3.09,US,1683521228
53,kapa'a,22.0752,-159.319,26.99,73,75,7.2,US,1683521445
54,punta arenas,-53.15,-70.9167,7.06,70,0,3.6,CL,1683521158
55,bohicon,7.1783,2.0667,23.67,90,17,1.36,BJ,1683521446
56,waitangi,-43.9535,-176.5597,14.9,89,100,1.79,NZ,1683521446
57,georgetown,5.4112,100.3354,32.96,70,20,1.54,MY,1683521159
58,chonchi,-42.6128,-73.8092,6.18,96,24,0.74,CL,1683521240
59,borogontsy,62.6683,131.1683,-0.03,41,15,5.46,RU,1683521446
60,invercargill,-46.4,168.35,13.09,90,100,1.65,NZ,1683521442
